bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
toples,jar for storing food,cooking equipment
travesa,"long tray,platter (for serving food)",cooking equipment
trina,dish with lid,cooking equipment
xikra,cup,cooking equipment
suru,"scoop,ladle,dish up,dig up (ground); fish using scoop-net,shovel","cooking verbs,building - processes,fishing - processes"
luhas,scald,"cooking verbs,causes of illness"
nakali,"boil (of water),boiling","cooking verbs,water and sanitation"
nono,boil (water),"cooking verbs,water and sanitation"
bafa,"simmer using a little water,oil and flavourings",cooking verbs
behu,"shell corn,chuck corn (remove corn seeds from the cob)",cooking verbs
daan,boil (something in water),cooking verbs
deut,"knead,mash,crush with a stone,pound (in mortar and pestle)",cooking verbs
eskalda,scald,cooking verbs
fai,"hit end-on: pound (corn...),shoot (a billiard ball),ram,crash head-on,poke",cooking verbs
fuga,"fry onion,then add the already-cooked main ingredient (e.g. rice or dried beans) along with any other ingredients,and continue frying until it is warm",cooking verbs
kedok,stir (esp. something thick),cooking verbs
kukus,steam (food),cooking verbs
lalar2,"roast,grill (over coals)",cooking verbs
saboko,bake in palm-leaves,cooking verbs
taes,"filter,strain",cooking verbs
tahek,winnow,cooking verbs
tamun,smoke (food to preserve it),cooking verbs
tein,"cook (esp. rice),distill (wine),",cooking verbs
tempera,season (food before cooking),cooking verbs
tisi,"bring to the boil,then pour out the water",cooking verbs
titik,separate the whole (bokar) from the broken (ikis) grains (of rice),cooking verbs
tukir,cook in a length of bamboo on the fire,cooking verbs
tunu,"bake,roast",cooking verbs
ai kabelak walu,coffin ('eight planks'),death
anju oan,child who has died in infancy. Such children are thought to be sinless,death
destinu,destiny,death
hakoi,bury,death
kaixaun,coffin,death
lia mate,funeral and all ceremonies associated with a death,death
mate1,"die,dead; be out (fire,player...); out of order,doesn't work; off",death
mate2,"corpse,dead body",death
mate3,death,death
mate hamlaha,starve to death,death
mate mean,"die an untimely death,die suddenly and prematurely",death
rate,"grave,tomb; cemetery,graveyard",death
restus mortais,mortal remains,death
saudozu/a,the late respected (hero of the cause),death
semitériu,"cemetery,graveyard",death
bibi maten,"epilepsy,epileptic fit,convulsion","diseases,health - signs and symptoms"
AIDS,AIDS,diseases
anémia,anaemia,diseases
anémiku,anaemic,diseases
apendisite,appendicitis,diseases
azma,asthma,diseases
bronkite,bronchitis,diseases
dengi,dengue fever,diseases
diabete,diabetes,diseases
epatite,hepatitis,diseases
epilepsia,epilepsy,diseases
GO,gonorrhea,diseases
gripe,"flu,influenza",diseases
HIV AIDS,HIV AIDS,diseases
HIV SIDA,HIV AIDS,diseases
infesaun,infection,diseases
kakorok boot,body. goitre,diseases
kanker,cancer,diseases
kankru,cancer,diseases
lepra,leprosy,diseases
lombriga,(intestinal) worm,diseases
malária,malaria,diseases
matan mutin,body. cataract,diseases
mii midar,diabetes,diseases
pólio,"polio,poliomyelitis",diseases
sarampu,measles,diseases
SIDA,AIDS,diseases
strok,stroke (medical condition),diseases
TBC,"tuberculosis,TB",diseases
tétanu,tetanus,diseases
tifu,typhoid,diseases
tuberkuloze,"tuberculosis,TB",diseases
susu been,milk,"drinks,body parts"
bee tasak,boiled water,"drinks,water and sanitation,health - other"
ákua,bottled water,drinks
bee manas,hot water; drink,drinks
bee matak,unboiled water,drinks
jus,juice,drinks
nuu been,coconut water,drinks
serveja,beer,drinks
tua,"palm wine,wine",drinks
tua manas,"distilled palm wine (strongly alcoholic),spirits",drinks
tua mutin,"palm wine (sweet,very lightly alcoholic)",drinks
tua sabu,strongly alcoholic distilled palm wine,drinks
vinyu,(grape) wine,drinks
vinyu branku,white wine,drinks
wiski,whisky,drinks
xampanya,champagne,drinks
valór,"value; mark,grade,score (in exam)","economics,education - other"
selu1,"pay,pay for","economics,exchange"
investidór,investor,"economics,profession"
loja nain,shopkeeper,"economics,profession"
aloka,allocate,economics
alokasaun,allocation,economics
ATM,ATM,economics
auditoria,audit,economics
balansu,balance,economics
banku2,bank (financial institution),economics
baratu,"cheap,inexpensive",economics
basar,"market (the activity,or market day; not an officially designated place)",economics
bazaar,"market (the activity,or market day; not an officially designated place)",economics
benefísiu,benefit,economics
bisnis,business,economics
bolsu mahar,"rich,have deep pockets",economics
bonus,bonus,economics
cek,cheque,economics
depózitu,deposit,economics
deskontu,discount,economics
despeza,"expenditure,expense",economics
deve,"buy on credit; owe,be in debt for/to",economics
doadór,donor,economics
dolar2,dollar,economics
ekonómiku/a,economic,economics
eskudu,escudo (currency used during Portuguese rule),economics
esporta,export,economics
ezmola,alms,economics
faan,"sell,betray for money",economics
finansas,finance,economics
folin,"cost,value,price,worth",economics
folin aas,"high-priced,expensive,dear",economics
funan,interest (payment),economics
gasta,"spend a lot (esp. spend too much,waste),pass (time)",economics
gastu,"expenditure,expense",economics
gratis,free (of charge),economics
gratuitu/a,free (of charge),economics
hariku,enrich,economics
importa1,import,economics
impostu,tax,economics
investe,invest,economics
investimentu,investment,economics
investór,investor,economics
kantina,canteen,economics
karun1,"expensive,dear,high-priced",economics
kiak,poor,economics
kios,"stall,kiosk which sells a small range of everyday goods",economics
kios nain,kiosk owner,economics
kofre,money box,economics
komersiál,commercial,economics
kompensasaun,compensation,economics
kompras,shopping,economics
konsumidór/a,consumer,economics
konta,account,economics
konta bankária,bank account,economics
kontratu,contract,economics
kredit,"borrow (from a bank,cooperative); buy on credit",economics
kréditu,credit,economics
kuarter,quarter (25 cents),economics
loja,"shop,store",economics
mákina ATM,ATM machine,economics
merkadu,market (an officially designated market place; a market for goods),economics
merkadu livre,free market,economics
modal,capital (financial),economics
moeda,coin; currency,economics
montante,amount (esp. of money),economics
negósiu,business,economics
nota2,memo; receipt,economics
orsamentu,budget,economics
osan,money,economics
osan besi,coin,economics
osan inan,(financial) capital,economics
osan rahun,small change (especially coins),economics
osan sai,"expenditure,expense",economics
osan tahan,"banknote,paper money,bill (US)",economics
osan tama,income,economics
pagamentu,payment,economics
pinoor,"item (such as jewellery) which is given to a pawnbroker or private lender in exchange for a loan; it is redeemed by paying back the money (with interest,in the case of a pawnbroker)",economics
pobreza,poverty,economics
poupa,save (for the future),economics
presu,"price,cost",economics
rekening,bank account,economics
rendimentu,income,economics
resibu,receipt (slip),economics
riku,"rich,wealthy",economics
riku-soin,"wealth,riches",economics
rupia,rupee (Indonesian unit of currency),economics
saláriu,"salary,wages,pay",economics
saugati,free (of charge),economics
sén,cent,economics
sentavu,cent (for Timorese coins),economics
sentimu1,cent,economics
setór privadu,private sector,economics
sindikatu,trade union,economics
sosi,"go shares in,be joint partners,each put in money to buy something together",economics
subsídiu,"financial support,welfare payment,pension,dole",economics
swasta,private sector,economics
taxa,"rate,ratio; tax",economics
tender,tender,economics
tezu,"broke,skint,penniless,hard up",economics
transfer,transfer (money),economics
tusan,"debt,loan",economics
vendedór,"seller,pedlar",economics
vensimentu,salary,economics
vida moris,cost of living,economics
volta,give change (from money),economics
xeke,cheque,economics
xís,the letter X; cross (as a symbol of being incorrect),"education - other,alphabet"
osan eskola,school fees,"education - other,economics"
propinas,school fees,"education - other,economics"
pedagojia,pedagogy,"education - other,education - subject"
lian ensinu,language of instruction,"education - other,linguistics"
dekanu,dean (of university faculty),"education - other,profession"
akaba,graduate (from school or university),education - other
analfabetizmu,illiteracy,education - other
analfabetu,illiterate,education - other
aprende,learn,education - other
aula,"lesson,lecture",education - other
baxarelatu,bachelor's degree (3 years),education - other
biblioteka,library,education - other
bolsa estudu,scholarship,education - other
diploma,diploma,education - other
ditadu,dictation,education - other
doutoradu,"PhD,doctorate",education - other
doutoramentu,"PhD,doctorate",education - other
eduka,"educate,train,rear,bring up",education - other
edukasaun,education,education - other
ensinu,"education,level of education; teaching,tuition",education - other
ensinu báziku,basic education (the first nine years of compulsory schooling),education - other
ensinu sekundáriu,secondary education,education - other
ensinu superiór,"tertiary education,higher education",education - other
eskolár,school-,education - other
estájiu,"traineeship,prac work,practical training",education - other
estájiu servisu sosiál,obligatory social action internship for university students,education - other
estuda,study,education - other
estudu,study,education - other
ezame,"examination,exam,test",education - other
ezame nasionál,nation-wide final exam for core academic subjects at the end of junior high school and senior high school (formerly also at the end of primary school),education - other
ezersíziu,exercise,education - other
fakuldade,(university) faculty,education - other
formasaun,training (given to many people over an extended period of time),education - other
graduasaun,graduation,education - other
hanorin,"vt vcomp. teach,instruct,lecture,train,educate; discipline",education - other
inspetoria,inspectorate,education - other
jurusan,"field of study,(academic) department",education - other
kampus,campus,education - other
kelás,"class,grade,year (of school)",education - other
KKN2,obligatory social action internship for university students,education - other
klase,"class,grade,year (of school)",education - other
kuis,quiz,education - other
kuríkulu,curriculum,education - other
kursu,course,education - other
lisaun,lesson,education - other
lisensiatura,bachelor's degree (four years),education - other
liu1,"past; go past,go by,pass; exceed,surpass",education - other
matríkula,"enrolment,registration",education - other
mestradu,master's degree,education - other
nilai,"mark,grade,score (in exam)",education - other
notas,"mark,grade,score (in exam); result",education - other
peskiza,research,education - other
peskizadór/a,researcher,education - other
preprimária,preschool,education - other
primáriu/a,primary,education - other
rekreiu,morning and afternoon tea break at school,education - other
sekundáriu/a,secondary (school),education - other
semester,semester,education - other
semestre,semester,education - other
sertifikadu,certificate,education - other
servisu uma,homework,education - other
siklu,cycle (e.g. the three cycles of ensinu áziku9báziku 'basic education'),education - other
S1,bachelor's degree (four years),education - other
S2,master's degree,education - other
S3,PhD,education - other
teze,thesis (book),education - other
trabalyu da kaza,homework,education - other
treinamentu,training,education - other
treinu,"training,practice",education - other
trimestre,"quarter,three months,trimester; (school) term",education - other
vistu1,tick (sign of correctness),education - other
edukadór(a),"educator,teacher,lecturer","education - people,profession"
eskolante,,"education - people,profession"
mestri/a,"(male/female) teacher,lecturer,tutor,instructor","education - people,profession"
profesór(a),"teacher,lecturer","education - people,profession"
reitór,"university head,vice-chancellor (BRIT)","education - people,profession"
dosenti,lecturer,education - people
graduadu,graduate (person receiving a degree at a ceremony),education - people
ekonomia,"economy,economics","education - subject,economics"
komérsiu,business,"education - subject,economics"
biokímika,biochemistry,"education - subject,health - other"
medisina,(study of) medicine,"education - subject,health - other"
mikrobiolojia,microbiology,"education - subject,health - other"
direitus umanus,human rights,"education - subject,law - other"
edukasaun sívika,civic education,"education - subject,politics - other"
alfabetizasaun,literacy (training),education - subject
antropolojia,anthropology,education - subject
arte,art,education - subject
astronomia,astronomy,education - subject
biolojia,biology,education - subject
ekolojia,ecology,education - subject
eletrónika,electronics,education - subject
enjenyaria,engineering,education - subject
enjenyaria sivíl,civil engineering,education - subject
estatístika,statistics,education - subject
filozofia,philosophy,education - subject
fízika,physics,education - subject
informátika,"information technology,IT,computer science",education - subject
jeografia,geography,education - subject
jeolojia,geology,education - subject
kímika,chemistry,education - subject
letras,"humanities,arts",education - subject
matemátika,mathematics,education - subject
psikolojia,psychology,education - subject
siénsia,science,education - subject
siénsia polítika,political science,education - subject
siénsias naturais,natural sciences,education - subject
siénsias sosiais,social sciences,education - subject
sosiolojia,sociology,education - subject
teknolojia,technology,education - subject
trabalyus manuais,manual arts,education - subject
bilaan,"bewildered,look vacant","emotions,health - signs and symptoms,expressions"
senti,"vt v-atu. feel; sense; think,suspect","emotions,think"
admira,"astonished at,amazed at,astounded by",emotions
amór,love,emotions
baruk,"feel lazy,bored,listless,can't be bothered,demotivated,apathetic",emotions
bingun,"confused,bewildered,perplexed",emotions
domin,love,emotions
estima,"cherish,show affection",emotions
fuan kii,"body. scared,nervous",emotions
fuan tuk-tuku,"body. nervous,'have butterflies'",emotions
gosta,"vt v-atu. like,enjoy",emotions
hadomi,"love,pity,feel sorry for",emotions
hakarak,"vt v-atu. want,desire to,long to,wish",emotions
hakfodak,"startled,surprised,shocked",emotions
haksolok,"joyful,rejoice,glad,happy",emotions
hirus,"angry (at),cross,mad",emotions
kontenti,"happy,content,contented,pleased",emotions
ksolok,"joy,happiness,contentment",emotions
laran dodok,body. distressed,emotions
laran hakmatek,"body. feel calm,feel at peace",emotions
laran haksolok,"body. joyful,rejoice,glad,happy",emotions
laran kii,"body. anxious,have a premonition that something bad may have happened to a loved one",emotions
laran kontenti,"body. happy,content,contented,pleased",emotions
laran la metin,"body. feel uneasy,anxious,apprehensive",emotions
laran malirin,body. temper has cooled,emotions
laran manas,body. fit of anger,emotions
laran moras,"sad,upset",emotions
laran susar,body,emotions
laran taridu,"body. very sad,distressed",emotions
laran todan,body,emotions
laran tristi,body. sad,emotions
matan monu,"body. fall for,fall in love with",emotions
moe,"shy,embarrassed,ashamed",emotions
muroon,"listless,sit unmoving with head down (like a sick chicken)",emotions
nervozu,"irritated,annoyed",emotions
nervus,adj angry,emotions
nisik,"furious,""I've had it up to here!"" (pointing at throat)",emotions
odi,"hate,seek revenge",emotions
ódiu,"hatred,revenge",emotions
panik,panic,emotions
preokupasaun,"concern,worry",emotions
raan nakali,body. furious,emotions
satiadu,"irritated,annoyed",emotions
sentimentu,feeling,emotions
stres,stressed,emotions
taridu,"very sad,distressed",emotions
tauk,"afraid,scared,fear",emotions
tristi,sad,emotions
ulun malirin,body. cool-headed,emotions
vingansa,"vengeance,revenge",emotions
aluga,"rent,hire (from someone)","exchange,economics"
empresta,"borrow,rent (inexpensive items such as videos)","exchange,economics"
foo aluga,"vt-ba. rent out,hire out","exchange,economics"
foo empresta,"lend,lend out,loan","exchange,economics"
hatoo,"deliver,pass on (message,greetings,information),express (an opinion)","exchange,speaking"
pasa1,"pass (something to someone,a ball,a test); spend (time)","exchange,sport"
distribui,"distribute,hand out",exchange
distribuisaun,distribution (esp. of handouts),exchange
entrega,"deliver,hand over,hand in,submit",exchange
fahe,"distribute,hand out; deal (cards),share; separate,divide",exchange
foo,"give,provide,award",exchange
lolo,"hand,pass (something to someone,with outstretched arm)",exchange
oferese,"offer,dedicate",exchange
simu,"receive; accept,catch (something being thrown); respond; answer (the telephone),reply",exchange
sosa,"buy,purchase",exchange
oin mean,"body. blush,flush,go red in the face","expressions,body descriptions"
hahaek,"laugh loudly all together (traditionally !9hahae!,mainly by women)",expressions
hamnasa,"laugh,laugh at,smile",expressions
matan fuan lakan,body. stare,expressions
oin boot,body. scowl,expressions
oin buis,body. look stern,expressions
oin hamnasa,body. smile,expressions
oin midar,body. smile,expressions
oin moris,"body. flirt,flirtatious,on the lookout for the other sex,on the prowl",expressions
oin suar,body. scowl,expressions
oin toos,body. look stern,expressions
oin triste,body. look sad,expressions
baleia,whale,fish and sea creatures
boek,"prawn,shrimp",fish and sea creatures
ikan lele,catfish,fish and sea creatures
ikan lumba-lumba,"dolphin,porpoise",fish and sea creatures
ikan oan,fingerling,fish and sea creatures
ikan paus,whale,fish and sea creatures
ikan sardinya,sardine,fish and sea creatures
kadiuk,crab,fish and sea creatures
kurita,octopus,fish and sea creatures
lagosta,lobster,fish and sea creatures
lumba-lumba,"dolphin,porpoise",fish and sea creatures
ramiis,"bivalve,mussle,clam",fish and sea creatures
sardinya,sardine,fish and sea creatures
sipu,shellfish,fish and sea creatures
suntu,squid,fish and sea creatures
tuna,eel,fish and sea creatures
peskadór,(commercial) fisherman,"fishing - other,profession"
arame,"wire,(single-pronged) fishing spear","fishing - other,tools - types"
dai,cast-net (for fishing),fishing - other
iska,bait,fishing - other
kail,fish hook; fishing line and hook,fishing - other
kail isin,fish hook,fishing - other
kail talin,fishing line,fishing - other
nere,"scoop net,hand net (for fishing)",fishing - other
tiha door,fisherman/fisherwoman,fishing - other
hakail,fish with a line,fishing - processes
tiha2,fish with a net,fishing - processes
tolun,egg,"food,animals - other"
ikan,fish,"food,fish and sea creatures"
jelu,ice,"food,nature - other"
ai farina tahan,cassava leaf,"food,plant parts"
abokate,avocado,"food,plants"
abrunyus,plum,"food,plants"
agriaun,watercress,"food,plants"
ai ata,custard apple,"food,plants"
ai ata boot,soursop,"food,plants"
ai ata kiik,custard apple,"food,plants"
ai ata malae,soursop,"food,plants"
ai ata nona,custard apple,"food,plants"
ai dila,"pawpaw,papaya","food,plants"
ai farina,"cassava,tapioca","food,plants"
ai kanela,cinnamon,"food,plants"
ai lia,ginger,"food,plants"
ai manas ai leten,"kind of red chilli,usually sold dried and used in sasoro rice porridge","food,plants"
ai nanás,pineapple,"food,plants"
akar,sago,"food,plants"
alfase,lettuce,"food,plants"
baria,bitter gourd,"food,plants"
batar,"maize,corn","food,plants"
baunilya,vanilla,"food,plants"
bayaun,Chinese spinach,"food,plants"
belimbi,kind of very sour yellow fruit,"food,plants"
brinjela,"eggplant,aubergine","food,plants"
budu tasi,edible bifurcating seaweed,"food,plants"
derok,"lemon,lime","food,plants"
derok masin,lime (citrus),"food,plants"
durian,durian,"food,plants"
duut morin,lemon grass,"food,plants"
ervilya,"pea,snow pea,sugar pea","food,plants"
ervilya musan,pea,"food,plants"
fanili,vanilla,"food,plants"
fehuk,potato,"food,plants"
fehuk midar,sweet potato,"food,plants"
fehuk ropa,(Irish) potato,"food,plants"
foos,uncooked husked rice,"food,plants"
forai,peanut,"food,plants"
fore,bean,"food,plants"
fore keli,soya bean,"food,plants"
fore mungu,mung beans,"food,plants"
fore sikote,"snake bean,long bean (very long type of bean,about 50cm long)","food,plants"
fore talin,"snake bean,long bean (but shorter than fore xikote)","food,plants"
goiabas,guava,"food,plants"
haas,mango,"food,plants"
hudi,banana,"food,plants"
jambu air,"rose apple,water apple (kind of fruit)","food,plants"
jambua,pomelo (large thick-skinned citrus),"food,plants"
kabura,edible fern that grows by the side of the river,"food,plants"
kafé1,coffee,"food,plants"
kanko,"water spinach,swamp cabbage (kind of green leafy vegetable grown in water)","food,plants"
kinur1,turmeric,"food,plants"
kobi,kind of cabbage,"food,plants"
kontas,arrowroot,"food,plants"
koto,bean,"food,plants"
koto mean,red bean,"food,plants"
koto moruk,wild poisonous lima bean,"food,plants"
koto nurak,climbing French bean,"food,plants"
koto tisi,cooked koto moruk,"food,plants"
kulat,"mushroom,toadstool","food,plants"
kulu,"breadfruit,jackfruit","food,plants"
kulu jaka,jackfruit,"food,plants"
kulu modo,kind of breadfruit (commonly cooked as a vegetable),"food,plants"
kulu tunu,kind of breadfruit (often eaten baked),"food,plants"
kumbili,yam,"food,plants"
lakeru,pumpkin,"food,plants"
lakeru japonés,choko,"food,plants"
lakeru mutin,choko,"food,plants"
lakeru xina,choko,"food,plants"
liis,"garlic,onion","food,plants"
liis asu,(white) garlic,"food,plants"
liis bombai,large yellow onion,"food,plants"
liis boot,large yellow onion,"food,plants"
liis mean,"red onion,spring onion,shallot","food,plants"
liis mutin,(white) garlic,"food,plants"
maek,elephant foot yam,"food,plants"
marakujá,passionfruit,"food,plants"
marungi,moringa (small edible leaves),"food,plants"
masaan,apple,"food,plants"
modo metan,mustard greens (kind of vegetable with large green leaves),"food,plants"
modo mutin,"bok choy,Chinese cabbage","food,plants"
modo tahan,leafy vegetables,"food,plants"
mostarda,Chinese mustard greens,"food,plants"
mostarda metan,mustard greens (kind of vegetable with large green leaves),"food,plants"
nuu,coconut,"food,plants"
ortelaun,mint,"food,plants"
pateka,watermelon,"food,plants"
patola,"angled gourd,luffa (variety of pod-bearing vine similar to ochra)","food,plants"
pepinu,cucumber,"food,plants"
repolyu,cabbage,"food,plants"
repolyu funan,cauliflower,"food,plants"
ruku,basil,"food,plants"
rumaun,pomegranate,"food,plants"
sabraka,orange (citrus),"food,plants"
salak1,Zalacca (palm and fruit),"food,plants"
salsa,celery; parsley,"food,plants"
saramalé,Malay gooseberry (small sour fruit),"food,plants"
senoura,carrot,"food,plants"
serejas,cherry; a small round red fruit like a cherry,"food,plants"
sinkumás,yam bean,"food,plants"
sukaer,tamarind,"food,plants"
talas,taro,"food,plants"
tanjerina,"mandarin,tangerine","food,plants"
tohu,sugarcane,"food,plants"
tomate,tomato,"food,plants"
tora,fox-tail millet,"food,plants"
trigu,"wheat flour,wheat","food,plants"
tunis,pigeon pea,"food,plants"
uvas,grape,"food,plants"
aguasál,thin meat or fish soup,food
ai dila funan,"papaya flower,pawpaw flower",food
ai dila tahan,"papaya leaf,pawpaw leaf",food
ai farina uut,cassava flour,food
ai haan,food,food
ai manas,chilli,food
arós fugadu,red-coloured rice dish served at parties,food
azeiti,olive oil,food
babol,bubblegum,food
bakso,meatball soup,food
balixaun,prawn paste,food
bani been,honey,food
batar daan,traditional dish of boiled corn,food
batar funan,popcorn,food
batar ikis,corn meal (corn ground to about the size of rice grains),food
batar tuku,pounded corn,food
batar uut,cornflour (finely ground maize),food
bifi,dish of beef and potato chips,food
Bimoli,palm oil for cooking,food
biskuit,biscuit,food
bolinyus,sweet biscuit-balls,food
bolu2,cake (without icing),food
budu,pickle,food
bukae,provisions (food and drink for a journey),food
bumbu,"spices,seasoning",food
capcai,"stir-fry,stir-fried vegetables",food
derok been,"lemon juice,lime juice",food
donat,"doughnut,donut (US)",food
dosi,"cake,biscuit",food
és,"(flavoured) ice block,ice lollipop,popsicle",food
és campur,ice mixed with fruits and syrup,food
eskrim,ice cream,food
espageti,spaghetti,food
etu,cooked rice,food
etu fuga,simple fried rice eaten for breakfast,food
etu sona,simple fried rice eaten for breakfast,food
fermentu,yeast,food
fore dikin,bean plant tips,food
fore mungu moris,bean sprouts,food
gado-gado,dish of vegetables or salad with peanut sauce,food
hahaan,"food,(animal) feed",food
hudi dubun,banana bud (commonly eaten as a vegetable),food
ikan maran,dried fish,food
ikis,"meal (finely pounded grain),broken grain",food
jelatina,"gelatine,jelly (BRIT),jello (US)",food
jelu fatuk,"ice cube,block of ice",food
kadaka,pancake,food
kafé musan,coffee bean,food
kafé rahun,coffee powder,food
kafé teen1,coffee dregs,food
kafé uut,coffee powder,food
kaijú musan,cashew nut,food
kaldeirada,stew made of meat on the bone (often lamb) and potato,food
kaldu,broth of over-boiled rice with meat (usually chicken),food
kanudu,cone of pastry filled with minced meat,food
katupa,rice cooked in small woven palm-leaf container,food
keiju,cheese,food
kék,iced cake; wedding cake,food
koemanko,cup-cake,food
koerambu,sweet fried snack made from flour and shaped like a triangle of fine strands,food
koranti,(food) colouring,food
kuzidu,dish of fish and vegetables with dressing,food
lakeru funan,pumpkin vine flowers,food
lataria,canned food,food
makaraun,macaroni,food
manteiga,butter,food
mantolun,(chicken) egg,food
margarina,margarine,food
marmelada,"jam,marmalade",food
marotok,stew of traditional vegetables and leaves all boiled together in a single pot,food
masin,salt,food
masin midar,sugar,food
masin moruk,salt,food
micin,"MSG,monosodium glutamate",food
midar-siin,sweet and sour,food
mina,oil; fuel,food
mina azeiti,olive oil,food
mina fahi,lard,food
mina nuu,coconut oil,food
modo,,food
modo masin,salted preserved mustard greens,food
molyu,"gravy,salad dressing,sauce",food
naan1,"meat,flesh",food
naan been,gravy,food
naan bibi,"goat meat,mutton",food
naan fahi,pork,food
naan karau,beef,food
naan manu,chicken (meat),food
naan maran,"dried meat,jerky; fried meat tidbits",food
naan rahun,minced meat,food
naan teen,intestines eaten as meat,food
naan tunu,"roast,roast meat",food
nasi bungkus,take-away rice,food
nasi goreng,(Indonesian) fried rice,food
pastes,samosa,food
patisku,snack (of meat) eaten with palm-wine,food
paun,bread,food
paun kaixoti,square buns baked joined together,food
paun kukus,steamed filled bun,food
paun midar,sweet bun,food
paun rahun,breadcrumb,food
paun ulun,yeast,food
pimenta,pepper,food
pisang goreng,banana fritter,food
puding,pudding,food
rebusadu,"lolly,sweets,candy (US)",food
rendang,an Indonesian dish of meat simmered in coconut milk and spices,food
Royal,baking powder,food
RW,a dog-meat dish (now also made on pork),food
salada,salad,food
sasate,satay (grilled meat on a skewer served with sauce),food
sasoro,rice gruel,food
sate,satay (grilled meat on a skewer served with sauce),food
saus,sauce,food
saus tomate,tomato sauce,food
sedok,thick porridge,food
sopa,soup,food
sorvete,ice-cream,food
sumu,cordial (drink),food
súpermi,"two-minute noodles,instant noodles",food
sutate,"soy sauce,soya sauce",food
sutate midar,sweet soya sauce,food
tempe,tempeh,food
temperus,"spices,seasoning",food
tintu,red wine (made from grapes),food
tofu,tofu (soybean curd),food
toge,bean sprouts,food
tomate botir,tomato sauce,food
tua siin,vinegar,food
xá,tea,food
xaumí,noodles,food
xokolati,chocolate,food
Ministériu Agrikultura i Peskas,Ministry of Agriculture and Fisheries,"government,agriculture - people"
Ministériu Ekonomia i Dezenvolvimentu,Ministry of Economy and Development,"government,economics"
Ministériu Finansas,Ministry of Finance,"government,economics"
departementu,department,"government,education - other"
senadu,senate,"government,education - other"
Ministériu Edukasaun,Ministry of Education,"government,education - people"
Ministériu Saúde,Ministry of Health,"government,health - people"
Ministériu Justisa,Ministry of Justice,"government,law - people"
administradór/a distritu,district administrator,government
administradór/a subdistritu,subdistrict administrator,government
aldeia,sub-village (unit of local government below suku; including village(s) and the associated farmlands and bushland),government
Asembleia Konstituinte,Constituent Assembly,government
CPLP,np. Conference of Portugese Speaking Nations,government
deputadu/a,"member of parliament,parliamentarian",government
diretór/-ora jerál,"director general,DG",government
distritál,district-,government
distritu,(political/administrative) district,government
Gabinete Prezidente,Office of the President,government
Gabinete Primeiru Ministru,Office of the Prime Minister,government
governadór/a,governor,government
governu,government,government
governu lokál,local government,government
KM,Council of Ministers,government
konselyu ministru,"Council of Ministers,cabinet (in politics)",government
kordenadór/a subdistritu,subdistrict head (head of a subdistritu),government
ministériu,ministry,government
Ministériu Administrasaun Estatál i Ordenamentu Teritóriu,Ministry of State Administration and Territorial Management,government
Ministériu Infraestruturas,Ministry of Infrastructure,government
Ministériu Negósius Estranjeirus,Ministry of Foreign Affairs,government
Ministériu Negósius Estranjeirus i Kooperasaun,Ministry of Foreign Affairs and Cooperation,government
Ministériu Solidariedade Sosiál,Ministry of Social Solidarity,government
"Ministériu Turizmu,Komérsiu i Indústria  ","Ministry of Tourism,Commerce and Industry",government
ministru/a,minister (in government),government
munisípiu,"municipality,shire",government
nasaun,"nation,country",government
nasionál,national,government
Nasoens Unidas,"np. United Nations,the UN",government
ONU,"UN,United Nations",government
parlamentu,parliament,government
parlamentu nasionál,national parliament,government
PM,"PM,prime minister",government
PN,National Parliament,government
postu2,subdistrict (governmental area within a distritu 'district'),government
PR,President of the Republic,government
primeira dama,First Lady,government
primeiru ministru,prime minister,government
provínsia,province (political region),government
rejiaun,region,government
rejionál,regional,government
Sekretáriu Estadu ba Konselyu Ministru,Secretary of State for the Council of Ministers,government
Sekretáriu Estadu Defeza,Secretary of State for Defence,government
Sekretáriu Estadu Formasaun Profisionál i Empregu,Secretary of State for Vocational Training and Employment,government
Sekretáriu Estadu Juventude,Secretary of State for Youth,government
Sekretáriu Estadu Kultura,Secretary of State for Culture,government
Sekretáriu Estadu Obras Públikas,Secretary of State for Public Works,government
Sekretáriu Estadu Polítika Enerjétika,Secretary of State for Energy Policy,government
Sekretáriu Estadu Promosaun Igualdade,Secretary of State for the Promotion of Equality,government
Sekretáriu Estadu Reforma Administrativa,Secretary of State for Administrative Reform,government
Sekretáriu Estadu Rekursus Naturais,Secretary of State for Natural Resources,government
Sekretáriu Estadu Seguransa,Secretary of State for Security,government
Sekretáriu Estadu Seguransa Sosiál,Secretary of State for Social Security,government
sekretáriu/a estadu,secretary of state,government
subdistritu,subdistrict (governmental area within a distritu 'district'),government
suku2,village (local government level below a subdistritu; one suku consists of several aldeia),government
visi ministru,deputy minister,government
xefi aldeia,sub-village (aldeia) head,government
xefi estadu,head of state (the President),government
xefi governu,head of government (the prime minister),government
xefi suku,village (suku) head,government
zona,subdistrict (governmental/administrative region),government
kabas,"cotton; thread,yarn","health - equipment,clothes - other"
moskiteiru,mosquito net,"health - equipment,household"
ai tonka,"walking stick,cane,crutches",health - equipment
algodaun,cotton wool,health - equipment
ambulánsia,ambulance,health - equipment
dasin,"scales,balance (for weighing)",health - equipment
ekipamentu,"equipment,gear",health - equipment
eskutadór,stethoscope,health - equipment
hándiplas,"bandaid,sticking plaster",health - equipment
jesu,plaster cast; plaster of Paris,health - equipment
