bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
fanátiku/a  ,adj. fanatic. ,Category: character.
garidu/a  ,adj. flirt. ,Category: character.
gastadór  ,"n. wasteful person, spendthrift. ",Category: character.
hahalok aat  ,1 • body. badly-behaved. ,Category: character.
hahalok diak  ,"1 • body. well-behaved, does good things. ",Category: character.
ibun boot  ,body. big-mouth. ,Category: character.
kaan-teen  ,"1 • glutton, greedy (eats large amounts quickly and unsociably). ",Category: character.
kalma  ,"adj. calm, unruffled. ",Category: character.
karak  ,"stingy, mean. ",Category: character.
karak-teen  ,"adj. stingy, mean. ",Category: character.
karidade  ,n. charity. ,Category: character.
koalia door  ,n. chatterbox. ,Category: character.
kulit karau  ,"body. thick-skinned, shamless, feels no shame. ",Category: character.
kulit mahar  ,"body. intractable, doesn't respond to disciplinary beating. ",Category: character.
lanu-teen  ,"drunkard, alcoholic. ",Category: character.
laran aat  ,"body. 1 • nasty, wicked, callous. ",Category: character.
laran diak  ,"body. kind-hearted, kind, helpful, good , nice. ",Category: character.
laran luak  ,"body. very kind, helpful, generous. ",Category: character.
laran makerek  ,"body. two-faced, hypocritical. ",Category: character.
laran moos  ,"body. good, honest, have integrity, decent, holy. ",Category: character.
liman aat  ,body. 1 • habitual thief. ,Category: character.
liman fuik  ,"body. clumsy, 'all thumbs'. ",Category: character.
liman lais  ,"body. 1 • clever thief, light-fingered. ",Category: character.
liman naruk1  ,"body. light-fingered, thief, has a tendency to steal. ",Category: character.
malandru  ,adj. impudent. ,Category: character.
maledukadu  ,"adj. uncouth, rude. ",Category: character.
malkriadu/a  ,"adj. rude, ill-mannered. ",Category: character.
manya  ,"adj. spoiled (of child who cries when not given whatever they want), demanding, want one's own way. ",Category: character.
matan been mamar  ,"body. easily moved to tears, sensitive. ",Category: character.
matan feto  ,"body. flirt, on the prowl, on the lookout for girls. ",Category: character.
matan moris  ,"body. 1 • girl-crazy, boy-crazy; on the lookout for the other sex, on the prowl; keep swapping girlfriends/boyfriends. ",Category: character.
matan osan  ,"body. money-hungry, greedy for money. ",Category: character.
mentál  ,n. self-confidence in public. ,Category: character.
mentál fraku  ,body. self-conscious. ,Category: character.
mentál la iha  ,"body. timid, shy. ",Category: character.
moe door  ,"very shy, timid. ",Category: character.
nakar  ,"adj. mischievous, cheeky. ",Category: character.
nakar-teen  ,"adj. naughty, delinquent, trouble-maker. ",Category: character.
nervozu aat  ,"body. quick-tempered, irritable, bad-tempered. ",Category: character.
nervozudór  ,"quick-tempered, irritable, bad-tempered. ",Category: character.
nervus aat  ,"body. quick-tempered, irritable, bad-tempered. ",Category: character.
oin mahar  ,"body. unashamed, shameless, thick-skinned. ",Category: character.
raan manas  ,"body. bad-tempered, hot-tempered. ",Category: character.
servisu door  ,n. diligent; hard-working. ,Category: character.
servisu nain  ,"1 • adj. diligent; hard-working (especially at one's own work), good at one's work. ",Category: character.
siak-teen  ,stern disciplinarian; cranky. ,Category: character.
tanis-teen  ,adj. crybaby (of child who cries easily). ,Category: character.
tauk-teen  ,"adj. coward, cowardly. ",Category: character.
-teen3  ,suf. Follows a verb or adjective to create a compound describing a person who is habitually like this. It is used only for negatively-valued characteristics; e.g. teen9baruk-teen 'person who is habitually lazy' from baruk 'lazy'. ,Category: character.
teen toos  ,"stingy, cautious about giving or spending money, tight-fisted. ",Category: character.
tua teen  ,"1 • drunkard, wino, boozer. ",Category: character.
ulun bulak  ,"body. promiscuous; play up, wild. ",Category: character.
ulun fatuk toos  ,body. stubborn. ,Category: character.
ulun mamar  ,"body. intelligent, fast learner, bright, co-operative; compliant. ",Category: character.
ulun moruk  ,body. stubborn. ,Category: character.
ulun rua  ,"body. double agent, traitorous, professes allegiance to two opposing nations or parties. ",Category: character.
ulun toos  ,"body. stubborn, rebellious, headstrong; cheeky; slow learner. ",Category: character.
daun  ,n. needle. ,"Category: clothes - other, health - equipment."
alfineti  ,n. safety pin. ,Category: clothes - other.
amostra  ,1 • n. sewing pattern. ,Category: clothes - other.
daun suku ropa  ,n. sewing needle. ,Category: clothes - other.
elastik  ,n. elastic. ,Category: clothes - other.
graixa  ,1 • vt. polish (shoes). ,Category: clothes - other.
hena  ,"n. cloth, fabric, material; clothes, clothing; screen. ",Category: clothes - other.
liman badak  ,adj. short-sleeved. ,Category: clothes - other.
liman naruk2  ,adj. long-sleeved. ,Category: clothes - other.
mákina suku ropa  ,n. sewing machine. ,Category: clothes - other.
moda  ,n. fashion. ,Category: clothes - other.
morteen musan  ,n. traditional high-value orange bead. ,Category: clothes - other.
pontu krús  ,n. cross-stitch. ,Category: clothes - other.
reb-rebo  ,adv. many varied. ,Category: clothes - other.
riskadu  ,adj. striped. ,Category: clothes - other.
bolsu  ,"n. pocket, pouch. ","Category: clothes - parts, animals - parts."
butaun  ,n. button. ,Category: clothes - parts.
feskuleiru  ,n. zip. ,Category: clothes - parts.
gola  ,n. collar. ,Category: clothes - parts.
sapatu talin  ,n. shoelace. ,Category: clothes - parts.
sintura  ,n. waist (of a garment); waistband. ,Category: clothes - parts.
takaun  ,n. heel (of shoe). ,Category: clothes - parts.
hatais  ,"1 • vt. wear, get dressed, put on (clothes). ",Category: clothes - processes.
kabala  ,"vt. wear, gird, tie (e.g. sarong) around the waist or chest. ",Category: clothes - processes.
kolu  ,vt. take off (clothes). ,Category: clothes - processes.
soru1  ,vt. weave (cloth). ,Category: clothes - processes.
farda  ,n. uniform. ,"Category: clothes, army - other, police - other."
vernís  ,n. (wood) varnish; nail polish. ,"Category: clothes, building materials and equipment."
lutu2  ,1 • n. black clothes or cloth worn during mourning. ,"Category: clothes, death."
oklu  ,"n. glasses, spectacles; goggles. ","Category: clothes, health - equipment."
xapeu  ,"n. hat, cap, baby bonnet; circumflex. ","Category: clothes, linguistics."
batina  ,n. cassock. ,"Category: clothes, religion - other."
argola  ,"n. hoop, hoop earring. ","Category: clothes, sport."
kalsa training  ,n. tracksuit pants. ,"Category: clothes, sport."
morteen  ,n. traditional bead necklace. ,"Category: clothes, tradition."
badaak  ,"n. powder, talcum powder. ",Category: clothes.
bikini  ,n. bikini. ,Category: clothes.
bluza  ,n. blouse. ,Category: clothes.
bóinya  ,n. beret. ,Category: clothes.
botas  ,n. boot. ,Category: clothes.
brinkus  ,n. earring. ,Category: clothes.
faru  ,"n. top (shirt, blouse, ...) ",Category: clothes.
faru manas  ,"n. jumper, sweater, cardigan. ",Category: clothes.
fatu  ,n. suit (of clothes). ,Category: clothes.
feixu  ,"n. hair clip, bobby pin. ",Category: clothes.
fralda  ,"n. (cloth) nappy, diaper. ",Category: clothes.
fuuk falsu  ,n. wig. ,Category: clothes.
gravata  ,"n. tie, necktie. ",Category: clothes.
guardaxuva  ,n. umbrella. ,Category: clothes.
jakét  ,"n. jacket, windcheater. ",Category: clothes.
jíns  ,n. jeans. ,Category: clothes.
kabaya  ,"n. traditional women's blouse pinned in the front, usually worn with a sarong. ",Category: clothes.
kadeli  ,n. ring (for finger). ,Category: clothes.
kakehe  ,n. (hand-held) fan. ,Category: clothes.
kalsa  ,"n. trousers, pants, jeans. ",Category: clothes.
kalsa badak  ,n. shorts. ,Category: clothes.
kalsa jíns  ,n. jeans. ,Category: clothes.
kalsa laran  ,n. underpants. ,Category: clothes.
kalsa naruk  ,"n. trousers, long pants. ",Category: clothes.
kalsaun  ,n. shorts. ,Category: clothes.
kalsinya  ,n. panties. ,Category: clothes.
kamiza  ,n. shirt. ,Category: clothes.
kamiza liman badak  ,n. short-sleeved shirt. ,Category: clothes.
kamiza liman naruk  ,n. long-sleeved shirt. ,Category: clothes.
kamizinya  ,n. camisole. ,Category: clothes.
kamizola  ,n. T-shirt. ,Category: clothes.
kampanya2  ,n. women's sarong. ,Category: clothes.
kapa1  ,"n. raincoat, poncho. ",Category: clothes.
kazaku  ,"n. coat, jacket. ",Category: clothes.
kelu  ,n. women's bracelet (of single band). ,Category: clothes.
korenti  ,n. chain; (chain) necklace. ,Category: clothes.
koroa  ,n. crown. ,Category: clothes.
kreme  ,"n. cream, moisturising cream. ",Category: clothes.
kuekas  ,n. (men's) underpants. ,Category: clothes.
lipa  ,n. sarong. ,Category: clothes.
luvas  ,n. glove. ,Category: clothes.
luvas boraxa  ,n. rubber gloves. ,Category: clothes.
luvas meias  ,n. work gloves. ,Category: clothes.
makaku2  ,"n. overalls, dungarees. ",Category: clothes.
medalya  ,n. medal. ,Category: clothes.
meias  ,n. sock. ,Category: clothes.
neras  ,n. swaddling cloth (to wrap baby in). ,Category: clothes.
oklu metan  ,n. sunglasses. ,Category: clothes.
oras2  ,"n. watch, clock. ",Category: clothes.
pulseira  ,n. bracelet (of chain). ,Category: clothes.
relójiu liman  ,"n. watch, wristwatch. ",Category: clothes.
relójiu talin  ,n. watch band. ,Category: clothes.
rompi  ,n. waistcoat. ,Category: clothes.
ropa  ,"n. clothes, clothing. ",Category: clothes.
saia  ,n. skirt. ,Category: clothes.
saiote  ,"n. half-slip, petticoat. ",Category: clothes.
sandálias  ,n. sandal. ,Category: clothes.
sapatilya  ,"n. sports shoe, running shoe, sandshoe. ",Category: clothes.
sapatu1  ,n. shoe (with enclosed heel). ,Category: clothes.
sapatu botas  ,n. boot. ,Category: clothes.
sapatu kets  ,"n. sports shoe, running shoe, sandshoe. ",Category: clothes.
sapatu kulit  ,n. leather shoe. ,Category: clothes.
selendang  ,n. long narrow hand-woven cloth. ,Category: clothes.
sintu  ,n. belt. ,Category: clothes.
stoking  ,n. stocking. ,Category: clothes.
sumbrinya  ,"n. parasol, umbrella. ",Category: clothes.
sutián  ,"n. bra, brassiere. ",Category: clothes.
tais  ,n. 1 • large hand-woven traditional cloth. ,Category: clothes.
tais feto  ,"n. traditional hand-woven cloth for women, sewn into a tube. ",Category: clothes.
tais mane  ,n. long traditional hand-woven cloth for women. ,Category: clothes.
ulsuku  ,n. traditional hairpin with an old coin. ,Category: clothes.
veo  ,n. veil. ,Category: clothes.
vestidu  ,n. dress. ,Category: clothes.
xinelus  ,n. thongs; flip-flops. ,Category: clothes.
xokas  ,n. slip-on sandal. ,Category: clothes.
kamutis  ,"adj. pale (of skin when a person is sick), faded. ","Category: colour, health - signs and symptoms."
amarelu  ,adj. yellow. ,Category: colour.
azúl  ,adj. blue. ,Category: colour.
kinur2  ,adj. yellow. ,Category: colour.
kór  ,n. colour. ,Category: colour.
kór de laranja  ,adj. orange (colour). ,Category: colour.
kór de roza  ,adj. pink. ,Category: colour.
kór kafé  ,brown. ,Category: colour.
kór kreme  ,"cream-coloured, cream (colour). ",Category: colour.
makerek  ,"adj. multi-coloured, patterned. ",Category: colour.
malahuk  ,"adj. grey, fuzzy, hazy, blurred. ",Category: colour.
mean  ,adj. red; golden; rash. ,Category: colour.
metan  ,adj. black. ,Category: colour.
modok  ,adj. green. ,Category: colour.
morenu/a  ,adj. light brown. ,Category: colour.
verdi  ,adj. green. ,Category: colour.
Áfrika  ,np. Africa; African. ,Category: continents.
Amérika Norte  ,np. North America; North American. ,Category: continents.
Amérika Súl  ,np. South America; South American. ,Category: continents.
Antártika  ,np. Antarctica. ,Category: continents.
Eropa  ,np. Europe; European. ,Category: continents.
matak  ,"adj. raw, uncooked, not boiled (of water); unripe; green (natural colour). ","Category: cooking - other, agriculture - other, colour."
masa1  ,"n. wet cement mix (cement, sand and water), plaster; grease; dough. ","Category: cooking - other, building materials and equipment."
reseita  ,n. recipe; prescription. ,"Category: cooking - other, health - equipment."
tasak  ,"adj. ripe (of fruit); mature; cooked (of food); boiled (of water), productive (of a cough), black and blue (bruised) all over. ","Category: cooking - other, health - other, agriculture - other."
kozinyeiru/a  ,"n. cook, chef. ","Category: cooking - other, profession."
grosu  ,adj. thick (consistency). ,Category: cooking - other.
mat-matak  ,adj. al dente. ,Category: cooking - other.
menu  ,n. menu. ,Category: cooking - other.
toradu  ,adj. crispy (of toasted or fried food). ,Category: cooking - other.
kaleen  ,"n. tin can, tin, can; corrugated iron, roofing iron. ","Category: cooking equipment, building materials and equipment, water and sanitation."
dapur  ,n. kitchen. ,"Category: cooking equipment, building parts."
garfu  ,n. fork; garden fork; rake. ,"Category: cooking equipment, tools - types."
kanuru  ,"n. spoon; shovel, spade; trowel. ","Category: cooking equipment, tools - types."
koadór  ,"n. strainer; filter, coffee filter. ","Category: cooking equipment, water and sanitation."
tudik  ,n. small sharp knife. ,"Category: cooking equipment, weapons, health - equipment."
abrelata  ,"n. can-opener, tin-opener. ",Category: cooking equipment.
ai duir  ,n. rolling pin. ,Category: cooking equipment.
ai tetak  ,n. chopping board. ,Category: cooking equipment.
alu  ,n. pestle (to crush food in a mortar). ,Category: cooking equipment.
bandeja  ,n. tray (for carrying food or drinks). ,Category: cooking equipment.
baríl  ,"n. barrel, cask. ",Category: cooking equipment.
bibirón  ,n. baby bottle. ,Category: cooking equipment.
bikan  ,n. plate. ,Category: cooking equipment.
buli1  ,n. teapot; coffee pot; jug. ,Category: cooking equipment.
fatuk inan  ,n. stone mortar (to crush food finely). ,Category: cooking equipment.
fatuk oan  ,n. stone pestle (a club-shaped instrument for grinding substances in a mortar). ,Category: cooking equipment.
fogaun  ,n. stove. ,Category: cooking equipment.
fogaun gás  ,n. gas stove. ,Category: cooking equipment.
forma  ,n. mould; cake tin. ,Category: cooking equipment.
fornu  ,n. oven. ,Category: cooking equipment.
garafaun  ,n. flagon. ,Category: cooking equipment.
jeleira  ,"n. refrigerator, fridge. ",Category: cooking equipment.
jeleira leten  ,n. freezer (compartment of fridge). ,Category: cooking equipment.
kanedok  ,n. ladle. ,Category: cooking equipment.
kaneka  ,n. plastic cup. ,Category: cooking equipment.
kanuru oan  ,n. teaspoon. ,Category: cooking equipment.
kopu  ,n. (drinking) glass. ,Category: cooking equipment.
lafatik  ,n. wide shallow basket used for cleaning/tossing grain. ,Category: cooking equipment.
lalian  ,"n. hearth, triangle of three cooking stones. ",Category: cooking equipment.
lata  ,"n cls. tin can, can, tin. ",Category: cooking equipment.
lesu  ,"n. mortar (of wood or stone, to pound corn or other items). ",Category: cooking equipment.
manko  ,n. bowl. ,Category: cooking equipment.
oron  ,n. 1 • long wooden mortar used to pound sago. ,Category: cooking equipment.
pasadór  ,n. tea strainer. ,Category: cooking equipment.
piris  ,n. saucer. ,Category: cooking equipment.
sanan  ,"n. saucepan, pot. ",Category: cooking equipment.
sanan kukus  ,n. steamer (for steaming food). ,Category: cooking equipment.
sanan rai  ,n. earthen pot. ,Category: cooking equipment.
tabun gás  ,n. gas bottle. ,Category: cooking equipment.
taxu  ,n. wok (with two round handles). ,Category: cooking equipment.
termu1  ,"n. thermos, thermos flask. ",Category: cooking equipment.
toples  ,n. jar for storing food. ,Category: cooking equipment.
travesa  ,"n. long tray, platter (for serving food). ",Category: cooking equipment.
trina  ,n. dish with lid. ,Category: cooking equipment.
xikra  ,n. cup. ,Category: cooking equipment.
suru  ,"vt. scoop, ladle, dish up, dig up (ground); fish using scoop-net, shovel. ","Category: cooking verbs, building - processes, fishing - processes."
luhas  ,vt. scald. ,"Category: cooking verbs, causes of illness."
nakali  ,"vi. boil (of water), boiling. ","Category: cooking verbs, water and sanitation."
nono  ,vt. boil (water). ,"Category: cooking verbs, water and sanitation."
bafa  ,"vt. simmer using a little water, oil and flavourings. ",Category: cooking verbs.
behu  ,"vt. shell corn, chuck corn (remove corn seeds from the cob). ",Category: cooking verbs.
daan  ,vt. boil (something in water). ,Category: cooking verbs.
deut  ,"vt. knead, mash, crush with a stone, pound (in mortar and pestle). ",Category: cooking verbs.
eskalda  ,vt. scald. ,Category: cooking verbs.
fai  ,"vt. hit end-on: pound (corn...), shoot (a billiard ball), ram, crash head-on, poke. ",Category: cooking verbs.
fuga  ,"vt. fry onion, then add the already-cooked main ingredient (e.g. rice or dried beans) along with any other ingredients, and continue frying until it is warm. ",Category: cooking verbs.
kedok  ,vt. stir (esp. something thick). ,Category: cooking verbs.
kukus  ,vt. steam (food). ,Category: cooking verbs.
lalar2  ,"vt. roast, grill (over coals). ",Category: cooking verbs.
saboko  ,vt. bake in palm-leaves. ,Category: cooking verbs.
taes  ,"vt. filter, strain. ",Category: cooking verbs.
tahek  ,vt. winnow. ,Category: cooking verbs.
tamun  ,vt. smoke (food to preserve it). ,Category: cooking verbs.
tein  ,"1 • vt. cook (esp. rice), distill (wine), ",Category: cooking verbs.
tempera  ,vt. season (food before cooking). ,Category: cooking verbs.
tisi  ,"vt. bring to the boil, then pour out the water. ",Category: cooking verbs.
titik  ,vt. separate the whole (bokar) from the broken (ikis) grains (of rice). ,Category: cooking verbs.
tukir  ,vt. cook in a length of bamboo on the fire. ,Category: cooking verbs.
tunu  ,"vt. bake, roast. ",Category: cooking verbs.
ai kabelak walu  ,n. coffin ('eight planks'). ,Category: death.
anju oan  ,n. child who has died in infancy. Such children are thought to be sinless. ,Category: death.
destinu  ,n. destiny. ,Category: death.
hakoi  ,vt. bury. ,Category: death.
kaixaun  ,n. coffin. ,Category: death.
lia mate  ,n. funeral and all ceremonies associated with a death. ,Category: death.
mate1  ,"vi. die, dead; be out (fire, player...); out of order, doesn't work; off. ",Category: death.
mate2  ,"n. corpse, dead body. ",Category: death.
mate3  ,n. death. ,Category: death.
mate hamlaha  ,vi. starve to death. ,Category: death.
mate mean  ,"vi. die an untimely death, die suddenly and prematurely. ",Category: death.
rate  ,"n. grave, tomb; cemetery, graveyard. ",Category: death.
restus mortais  ,n. mortal remains. ,Category: death.
saudozu/a  ,adj. the late respected (hero of the cause). ,Category: death.
semitériu  ,"n. cemetery, graveyard. ",Category: death.
bibi maten  ,"n. epilepsy, epileptic fit, convulsion. ","Category: diseases, health - signs and symptoms."
AIDS  ,abbrev. AIDS. ,Category: diseases.
anémia  ,n. anaemia. ,Category: diseases.
anémiku  ,adj. anaemic. ,Category: diseases.
apendisite  ,n. appendicitis. ,Category: diseases.
azma  ,n. asthma. ,Category: diseases.
bronkite  ,n. bronchitis. ,Category: diseases.
dengi  ,n. dengue fever. ,Category: diseases.
diabete  ,n. diabetes. ,Category: diseases.
epatite  ,n. hepatitis. ,Category: diseases.
epilepsia  ,n. epilepsy. ,Category: diseases.
GO  ,n abbrev. gonorrhea. ,Category: diseases.
gripe  ,"n. flu, influenza. ",Category: diseases.
HIV AIDS  ,n. HIV AIDS. ,Category: diseases.
HIV SIDA  ,n. HIV AIDS. ,Category: diseases.
infesaun  ,n. infection. ,Category: diseases.
kakorok boot  ,body. goitre. ,Category: diseases.
kanker  ,n. cancer. ,Category: diseases.
kankru  ,n. cancer. ,Category: diseases.
lepra  ,n. leprosy. ,Category: diseases.
lombriga  ,n. 1 • (intestinal) worm. ,Category: diseases.
malária  ,n. malaria. ,Category: diseases.
matan mutin  ,body. cataract. ,Category: diseases.
mii midar  ,diabetes. ,Category: diseases.
pólio  ,"n. polio, poliomyelitis. ",Category: diseases.
sarampu  ,n. measles. ,Category: diseases.
SIDA  ,abbrev. AIDS. ,Category: diseases.
strok  ,stroke (medical condition). ,Category: diseases.
TBC  ,"n. tuberculosis, TB. ",Category: diseases.
tétanu  ,n. tetanus. ,Category: diseases.
tifu  ,n. typhoid. ,Category: diseases.
tuberkuloze  ,"n. tuberculosis, TB. ",Category: diseases.
susu been  ,n. milk. ,"Category: drinks, body parts."
bee tasak  ,n. boiled water. ,"Category: drinks, water and sanitation, health - other."
ákua  ,n. bottled water. ,Category: drinks.
bee manas  ,n. 1 • hot water; drink. ,Category: drinks.
bee matak  ,n. unboiled water. ,Category: drinks.
jus  ,n. juice. ,Category: drinks.
nuu been  ,n. coconut water. ,Category: drinks.
serveja  ,n. beer. ,Category: drinks.
tua  ,"n. 1 • palm wine, wine. ",Category: drinks.
tua manas  ,"n. distilled palm wine (strongly alcoholic), spirits. ",Category: drinks.
tua mutin  ,"n. 1 • palm wine (sweet, very lightly alcoholic). ",Category: drinks.
tua sabu  ,n. strongly alcoholic distilled palm wine. ,Category: drinks.
vinyu  ,n. (grape) wine. ,Category: drinks.
vinyu branku  ,n. white wine. ,Category: drinks.
wiski  ,n. whisky. ,Category: drinks.
xampanya  ,n. champagne. ,Category: drinks.
valór  ,"n. value; mark, grade, score (in exam). ","Category: economics, education - other."
selu1  ,"vt. pay, pay for. ","Category: economics, exchange."
investidór  ,n. investor. ,"Category: economics, profession."
loja nain  ,n. shopkeeper. ,"Category: economics, profession."
aloka  ,vt. allocate. ,Category: economics.
alokasaun  ,n. allocation. ,Category: economics.
ATM  ,n. ATM. ,Category: economics.
auditoria  ,n. audit. ,Category: economics.
balansu  ,n. balance. ,Category: economics.
banku2  ,n. bank (financial institution). ,Category: economics.
baratu  ,"adj. cheap, inexpensive. ",Category: economics.
basar  ,"n. market (the activity, or market day; not an officially designated place). ",Category: economics.
bazaar  ,"n. market (the activity, or market day; not an officially designated place). ",Category: economics.
benefísiu  ,n. benefit. ,Category: economics.
bisnis  ,n. business. ,Category: economics.
bolsu mahar  ,"n. rich, have deep pockets. ",Category: economics.
bonus  ,n. bonus. ,Category: economics.
cek  ,n. cheque. ,Category: economics.
depózitu  ,n. deposit. ,Category: economics.
deskontu  ,n. discount. ,Category: economics.
despeza  ,"n. expenditure, expense. ",Category: economics.
deve  ,"vt. buy on credit; owe, be in debt for/to. ",Category: economics.
doadór  ,n. donor. ,Category: economics.
dolar2  ,n. dollar. ,Category: economics.
ekonómiku/a  ,adj. economic. ,Category: economics.
eskudu  ,n. escudo (currency used during Portuguese rule). ,Category: economics.
esporta  ,vt. export. ,Category: economics.
ezmola  ,n. 1 • alms. ,Category: economics.
faan  ,"vt. sell, betray for money. ",Category: economics.
finansas  ,n. finance. ,Category: economics.
folin  ,"n. cost, value, price, worth. ",Category: economics.
folin aas  ,"high-priced, expensive, dear. ",Category: economics.
funan  ,n. interest (payment). ,Category: economics.
gasta  ,"vt. spend a lot (esp. spend too much, waste), pass (time). ",Category: economics.
gastu  ,"n. expenditure, expense. ",Category: economics.
gratis  ,adj. free (of charge). ,Category: economics.
gratuitu/a  ,adj. free (of charge). ,Category: economics.
hariku  ,vt. enrich. ,Category: economics.
importa1  ,vt. import. ,Category: economics.
impostu  ,n. tax. ,Category: economics.
investe  ,vt. invest. ,Category: economics.
investimentu  ,n. investment. ,Category: economics.
investór  ,n. investor. ,Category: economics.
kantina  ,n. canteen. ,Category: economics.
karun1  ,"adj. expensive, dear, high-priced. ",Category: economics.
kiak  ,1 • adj. poor. ,Category: economics.
kios  ,"n. stall, kiosk which sells a small range of everyday goods. ",Category: economics.
kios nain  ,n. kiosk owner. ,Category: economics.
kofre  ,n. money box. ,Category: economics.
komersiál  ,adj. commercial. ,Category: economics.
kompensasaun  ,n. compensation. ,Category: economics.
kompras  ,vt. shopping. ,Category: economics.
konsumidór/a  ,n. consumer. ,Category: economics.
konta  ,n. account. ,Category: economics.
konta bankária  ,n. bank account. ,Category: economics.
kontratu  ,1 • n. contract. ,Category: economics.
kredit  ,"vt. borrow (from a bank, cooperative); buy on credit. ",Category: economics.
kréditu  ,n. credit. ,Category: economics.
kuarter  ,n. quarter (25 cents). ,Category: economics.
loja  ,"n. shop, store. ",Category: economics.
mákina ATM  ,n. ATM machine. ,Category: economics.
merkadu  ,n. market (an officially designated market place; a market for goods). ,Category: economics.
merkadu livre  ,n. free market. ,Category: economics.
modal  ,n. capital (financial). ,Category: economics.
moeda  ,n. coin; currency. ,Category: economics.
montante  ,n. amount (esp. of money). ,Category: economics.
negósiu  ,n. business. ,Category: economics.
nota2  ,n. memo; receipt. ,Category: economics.
orsamentu  ,n. budget. ,Category: economics.
osan  ,n. money. ,Category: economics.
osan besi  ,n. coin. ,Category: economics.
osan inan  ,n. (financial) capital. ,Category: economics.
osan rahun  ,n. small change (especially coins). ,Category: economics.
osan sai  ,"n. 1 • expenditure, expense. ",Category: economics.
osan tahan  ,"n. banknote, paper money, bill (US). ",Category: economics.
osan tama  ,n. 1 • income. ,Category: economics.
pagamentu  ,n. payment. ,Category: economics.
pinoor  ,"1 • n. item (such as jewellery) which is given to a pawnbroker or private lender in exchange for a loan; it is redeemed by paying back the money (with interest, in the case of a pawnbroker). ",Category: economics.
pobreza  ,n. poverty. ,Category: economics.
poupa  ,vt. save (for the future). ,Category: economics.
presu  ,"n. price, cost. ",Category: economics.
rekening  ,n. bank account. ,Category: economics.
rendimentu  ,n. income. ,Category: economics.
resibu  ,n. receipt (slip). ,Category: economics.
riku  ,"1 • adj. rich, wealthy. ",Category: economics.
riku-soin  ,"n. wealth, riches. ",Category: economics.
rupia  ,n. rupee (Indonesian unit of currency). ,Category: economics.
saláriu  ,"n. salary, wages, pay. ",Category: economics.
saugati  ,1 • adj. free (of charge). ,Category: economics.
sén  ,n. cent. ,Category: economics.
sentavu  ,n. cent (for Timorese coins). ,Category: economics.
sentimu1  ,n. cent. ,Category: economics.
setór privadu  ,n. private sector. ,Category: economics.
sindikatu  ,n. trade union. ,Category: economics.
sosi  ,"vt. go shares in, be joint partners, each put in money to buy something together. ",Category: economics.
subsídiu  ,"n. financial support, welfare payment, pension, dole. ",Category: economics.
swasta  ,n. private sector. ,Category: economics.
taxa  ,"n. rate, ratio; tax. ",Category: economics.
tender  ,n. tender. ,Category: economics.
tezu  ,"adj. broke, skint, penniless, hard up. ",Category: economics.
transfer  ,vt. transfer (money). ,Category: economics.
tusan  ,"n. debt, loan. ",Category: economics.
vendedór  ,"n. seller, pedlar. ",Category: economics.
vensimentu  ,n. salary. ,Category: economics.
vida moris  ,n. cost of living. ,Category: economics.
volta  ,vt. give change (from money). ,Category: economics.
xeke  ,n. cheque. ,Category: economics.
xís  ,n. the letter X; cross (as a symbol of being incorrect). ,"Category: education - other, alphabet."
osan eskola  ,n. school fees. ,"Category: education - other, economics."
propinas  ,n. school fees. ,"Category: education - other, economics."
pedagojia  ,n. pedagogy. ,"Category: education - other, education - subject."
lian ensinu  ,n. language of instruction. ,"Category: education - other, linguistics."
dekanu  ,n. dean (of university faculty). ,"Category: education - other, profession."
akaba  ,vt. 1 • graduate (from school or university). ,Category: education - other.
analfabetizmu  ,n. illiteracy. ,Category: education - other.
analfabetu  ,adj. illiterate. ,Category: education - other.
aprende  ,vt. learn. ,Category: education - other.
aula  ,"n. lesson, lecture. ",Category: education - other.
baxarelatu  ,n. bachelor's degree (3 years). ,Category: education - other.
biblioteka  ,n. library. ,Category: education - other.
bolsa estudu  ,n. scholarship. ,Category: education - other.
diploma  ,n. diploma. ,Category: education - other.
ditadu  ,n. dictation. ,Category: education - other.
doutoradu  ,"n. PhD, doctorate. ",Category: education - other.
doutoramentu  ,"n. PhD, doctorate. ",Category: education - other.
eduka  ,"vt. educate, train, rear, bring up. ",Category: education - other.
edukasaun  ,n. education. ,Category: education - other.
ensinu  ,"n. education, level of education; teaching, tuition. ",Category: education - other.
ensinu báziku  ,n. basic education (the first nine years of compulsory schooling). ,Category: education - other.
ensinu sekundáriu  ,n. secondary education. ,Category: education - other.
ensinu superiór  ,"n. tertiary education, higher education. ",Category: education - other.
eskolár  ,adj. school-. ,Category: education - other.
estájiu  ,"n. traineeship, prac work, practical training. ",Category: education - other.
estájiu servisu sosiál  ,n. obligatory social action internship for university students. ,Category: education - other.
estuda  ,v. study. ,Category: education - other.
estudu  ,n. study. ,Category: education - other.
ezame  ,"1 • n. examination, exam, test. ",Category: education - other.
ezame nasionál  ,n. nation-wide final exam for core academic subjects at the end of junior high school and senior high school (formerly also at the end of primary school). ,Category: education - other.
ezersíziu  ,n. exercise. ,Category: education - other.
fakuldade  ,n. (university) faculty. ,Category: education - other.
formasaun  ,n. training (given to many people over an extended period of time). ,Category: education - other.
graduasaun  ,n. graduation. ,Category: education - other.
hanorin  ,"1 • vt vcomp. teach, instruct, lecture, train, educate; discipline. ",Category: education - other.
inspetoria  ,n. inspectorate. ,Category: education - other.
